Student ID,Last Name,First Name,Gender,Program Code,Year
2019-0216,Pascual,Ivan,Male,BASoc,5
2019-0263,Aguilar,Kevin,Male,BSEd-Fil,3
2019-0422,Camacho,Jomar,Male,BSEnE,3
2019-0644,Mercado,Nico,Male,CPRT,5
2019-0831,Navarro,Jeric,Male,BAPsych,3
2019-0953,Soriano,Aaron,Male,BSEsE,4
2019-1201,Perez,Christian,Male,BSBio-Bdv,2
2019-1292,Espiritu,Mark,Male,BAHis,4
2019-1328,Chua,Patricia,Female,BALCS,2
2019-1415,Perez,Joy,Female,BET-MMT,2
2019-1623,Chan,Joy,Female,BSEcon,4
2019-1783,Ramos,Pearl,Female,BSPhil,1
2019-1785,Aguilar,Gabrielle,Female,BPEd,3
2019-1818,Co,Theresa,Female,BSCE,2
2019-1824,Flores,Jomar,Male,BSIT,5
2019-1925,Bernardo,Joy,Female,BS-MB,1
2019-2313,Co,Elena,Female,BSPsych,5
2019-2458,Ocampo,Edgar,Male,BSEsE,5
2019-2470,Diaz,Hope,Female,BSPhil,5
2019-2668,Gonzales,Dennis,Male,BAPsych,5
2019-2670,Tan,Clifford,Male,BAHis,4
2019-2736,Villafuerte,Faith,Female,BSCE,4
2019-2747,Garcia,Joy,Female,BSCA,4
2019-2883,Morales,Uma,Female,BSChem,3
2019-2884,Macaraeg,Olivia,Female,BEEd-SM,4
2019-2924,Pascual,Juan,Male,BSChem,2
2019-2930,Gutierrez,Aaron,Male,BEEd-LE,2
2019-2954,Manalo,Christian,Male,BSEd-Bio,4
2019-3059,Alvarado,Rafael,Male,BSIAM,1
2019-3187,Medina,Natalie,Female,BSCS,3
2019-3404,Romero,Jomar,Male,BEEd-LE,1
2019-3465,Macaraeg,Arvin,Male,N/A,1
2019-3663,Romero,Renz,Male,BALCS,2
2019-3709,Dela Cruz,Laura,Female,BSCHE,1
2019-3714,Chan,Sheila,Female,BS-MB,4
2019-3793,Soriano,Clarence,Male,BSEcon,5
2019-3834,Miranda,Natalie,Female,BET-ELET,2
2019-4114,Garcia,Vanessa,Female,BSPhys,2
2019-4206,Sison,Ryan,Male,BSCA,4
2019-4291,Chan,Patrick,Male,BSEd-Fil,2
2019-4483,Catalan,Marvin,Male,N/A,5
2019-4680,Chua,Frances,Female,BSBio-AB,4
2019-4729,Manalo,Maria,Female,BSA,3
2019-4762,Aguilar,Lorraine,Female,BAPan,3
2019-4945,Gonzales,Patricia,Female,BAPos,3
2019-5023,Navarro,Frances,Female,CPRT,1
2019-5029,Villafuerte,Arvin,Male,BS-MB,2
2019-5041,Mercado,Manuel,Male,BSCE,3
2019-5136,Magno,Hope,Female,BPEd,5
2019-5435,Bernardo,Sandra,Female,BAPan,4
2019-5502,Camacho,Rosa,Female,BSCS,5
2019-5541,Torres,Eduardo,Male,BAFil,4
2019-5645,Dela Rosa,Tina,Female,BSBA-MM,4
2019-5661,Mercado,Allen,Male,BAPsych,1
2019-5682,Perez,Faith,Female,BSBio-Micro,4
2019-5684,Sison,Hannah,Female,BSBA-MM,3
2019-5708,Hernandez,Nathan,Male,BSEd-Phys,4
2019-5831,Mercado,Allen,Male,BSEsE,4
2019-6021,Ramos,James,Male,BASoc,4
2019-6105,Tolentino,Sandra,Female,CPRT,2
2019-6174,Lacson,Erwin,Male,BSChem,1
2019-6188,Marasigan,Frances,Female,BSBA-MM,4
2019-6342,Coronel,Kevin,Male,BET-ESET,2
2019-6471,Dela Rosa,Allen,Male,BAFil,4
2019-6532,Aguilar,Edgar,Male,BSEd-Phys,5
2019-6638,Manalo,Andrei,Male,BSIAM,3
2019-6820,Reyes,Andrei,Male,BSBio-Micro,4
2019-7388,Mercado,Harold,Male,BSBio-Bdv,5
2019-7524,Pineda,Aldous,Male,BSChem,3
2019-7550,Panganiban,Eleanor,Female,BSStat,1
2019-7572,Mercado,John,Male,BSME,3
2019-7601,Santos,Daniel,Male,BSCERE,1
2019-7964,Lee,Aldrin,Male,BSBio-AB,1
2019-7983,Resurreccion,Jeric,Male,BSA,4
2019-8029,Buenaventura,Uma,Female,BSEd-Bio,2
2019-8058,Torres,Jeric,Male,BSN,4
2019-8184,Magno,Ronald,Male,BEEd-LE,5
2019-8235,Lee,Hope,Female,BAPos,3
2019-8245,Macapagal,Manuel,Male,BET-ELET,5
2019-8868,Co,Laura,Female,BSBA-BE,1
2019-8893,Diaz,Karen,Female,BSA,2
2019-9066,Castillo,Frances,Female,BALCS,1
2019-9328,Padilla,Renz,Male,BSHM,5
2019-9400,Lacson,Jason,Male,BTLEd-IA,3
2019-9727,Gonzales,Olivia,Female,BSIT,4
2019-9761,Ocampo,Claire,Female,BAPos,4
2019-9821,Delos Santos,Arnold,Male,BSEd-Chem,4
2020-0103,Ylagan,Wendy,Female,BAFil,5
2020-0144,Go,Jomar,Male,BSCHE,2
2020-0412,Navarro,Diane,Female,BSBA-BE,3
2020-0457,Villafuerte,Francisco,Male,BTLEd-HE,4
2020-0713,Tan,Claire,Female,BSCS,1
2020-0764,Macapagal,Kevin,Male,BEEd-LE,5
2020-0950,Chan,Theresa,Female,BSBio-PB,1
2020-1123,Santos,Francisco,Male,BET-MET,1
2020-1692,Miranda,Anne,Female,CPRT,3
2020-1696,De Leon,Angelo,Male,BET-ESET,5
2020-1719,Belen,Kenneth,Male,BSEcon,3
2020-1870,Sabio,Arnold,Male,BSPhys,1
2020-1980,Ong,Aldous,Male,BSEd-Phys,1
2020-1994,Sison,Bernard,Male,BAPan,2
2020-2184,Castillo,James,Male,BSCERE,3
2020-2254,Macaraeg,Sheila,Female,BASoc,2
2020-2418,Gutierrez,Marvin,Male,BSEd-Phys,3
2020-2468,Pineda,James,Male,BSEnE,3
2020-2626,Macapagal,Katherine,Female,BSEd-Math,1
2020-2801,Villanueva,Arnold,Male,BTLEd-IA,5
2020-3066,Sy,Kevin,Male,BSBio-PB,5
2020-3429,Ramos,Roberto,Male,BSEd-Fil,2
2020-3690,Ylagan,Christian,Male,BSCS,1
2020-3707,Torres,Jose,Male,BSCS,3
2020-3811,Natividad,Natalie,Female,BSBio-AB,2
